rank,term,type,count
1161,fine,unigram,1635
1162,of my,bigram,1632
1163,goal,unigram,1630
1164,encourage,unigram,1628
1165,happen,unigram,1628
1166,but they,bigram,1628
1167,weapon,unigram,1626
1168,how would,bigram,1626
1169,is no,bigram,1625
1170,works,unigram,1622
1171,we could,bigram,1619
1172,property,unigram,1618
1173,can try,bigram,1617
1174,room,unigram,1615
1175,that assistant,bigram,1613
1176,so they,bigram,1613
1177,it for,bigram,1612
1178,me what,bigram,1612
1179,whole,unigram,1609
1180,they might,bigram,1609
1181,topic,unigram,1608
1182,rather than,bigram,1605
1183,it could,bigram,1605
1184,or if,bigram,1602
1185,in an,bigram,1600
1186,activities,unigram,1599
1187,contact your,bigram,1598
1188,hair,unigram,1597
1189,careful,unigram,1597
1190,on their,bigram,1596
1191,you the,bigram,1595
1192,of any,bigram,1594
1193,eating,unigram,1592
1194,difficult to,bigram,1592
1195,possible to,bigram,1590
1196,to put,bigram,1589
1197,some other,bigram,1584
1198,because you,bigram,1584
1199,willing,unigram,1583
1200,to provide,bigram,1582
1201,so can,bigram,1582
1202,in any,bigram,1581
1203,age,unigram,1579
1204,don you,bigram,1579
1205,can give,bigram,1577
1206,although,unigram,1575
1207,information on,bigram,1573
1208,complicated,unigram,1571
1209,street,unigram,1570
1210,correct,unigram,1570
1211,that he,bigram,1570
1212,told,unigram,1566
1213,to them,bigram,1566
1214,items,unigram,1565
1215,are more,bigram,1564
1216,party,unigram,1562
1217,remember,unigram,1561
1218,be happy,bigram,1561
1219,know is,bigram,1561
1220,google,unigram,1559
1221,address for,bigram,1559
1222,your friend,bigram,1555
1223,cat,unigram,1554
1224,look like,bigram,1554
1225,side,unigram,1553
1226,think they,bigram,1553
1227,directly,unigram,1552
1228,media,unigram,1551
1229,willing to,bigram,1547
1230,thanks,unigram,1546
1231,that this,bigram,1546
1232,wear,unigram,1544
1233,assistant no,bigram,1544
1234,driving,unigram,1541
1235,that way,bigram,1538
1236,move,unigram,1537
1237,that your,bigram,1536
1238,cases,unigram,1529
1239,more than,bigram,1528
1240,approach,unigram,1527
1241,is good,bigram,1526
1242,right now,bigram,1526
1243,can see,bigram,1524
1244,does not,bigram,1522
1245,do with,bigram,1517
1246,bring,unigram,1516
1247,they were,bigram,1516
1248,the authorities,bigram,1513
1249,breaking,unigram,1512
1250,the situation,bigram,1510
1251,and are,bigram,1508
1252,during,unigram,1507
1253,human need,bigram,1507
1254,allowed to,bigram,1506
1255,chance,unigram,1504
1256,human if,bigram,1501
1257,lead to,bigram,1501
1258,if we,bigram,1499
1259,them assistant,bigram,1495
1260,so if,bigram,1493
1261,at least,bigram,1490
1262,outside,unigram,1488
1263,full,unigram,1488
1264,prison,unigram,1486
1265,for people,bigram,1486
1266,dead,unigram,1481
1267,target,unigram,1481
1268,similar,unigram,1480
1269,me how,bigram,1480
1270,treated,unigram,1477
1271,through the,bigram,1477
1272,web,unigram,1473
1273,would probably,bigram,1473
1274,to someone,bigram,1470
1275,like it,bigram,1470
1276,what they,bigram,1468
1277,turn,unigram,1467
1278,and get,bigram,1466
1279,would have,bigram,1462
1280,domestic violence,bigram,1462
1281,strongly,unigram,1458
1282,visit the,bigram,1458
1283,more specific,bigram,1455
1284,lock,unigram,1454
1285,each other,bigram,1454
1286,watch,unigram,1453
1287,have no,bigram,1453
1288,tried,unigram,1452
1289,past,unigram,1452
1290,discuss,unigram,1451
1291,methods,unigram,1451
1292,shoot,unigram,1450
1293,to protect,bigram,1450
1294,alright,unigram,1449
1295,get away,bigram,1449
1296,girl,unigram,1448
1297,you asking,bigram,1447
1298,tax,unigram,1446
1299,future,unigram,1443
1300,angry,unigram,1442
1301,useful,unigram,1442
1302,factors,unigram,1440
1303,department,unigram,1440
1304,do to,bigram,1440
1305,of what,bigram,1438
1306,known,unigram,1437
1307,fat,unigram,1437
1308,vehicle,unigram,1435
1309,could use,bigram,1435
1310,the time,bigram,1435
1311,because of,bigram,1435
1312,far,unigram,1434
1313,individual,unigram,1434
1314,on what,bigram,1434
1315,sure how,bigram,1434
1316,no one,bigram,1433
1317,another person,bigram,1433
1318,key,unigram,1432
1319,substance,unigram,1431
1320,someone to,bigram,1430
1321,thinking about,bigram,1429
1322,form of,bigram,1423
1323,office,unigram,1420
1324,living,unigram,1418
1325,following,unigram,1418
1326,it the,bigram,1418
1327,on this,bigram,1417
1328,treat,unigram,1413
1329,human it,bigram,1411
1330,experiencing,unigram,1409
1331,you some,bigram,1409
1332,away with,bigram,1408
1333,walk,unigram,1407
1334,location,unigram,1407
1335,current,unigram,1407
1336,that have,bigram,1407
1337,killed,unigram,1405
1338,glad,unigram,1404
1339,blood,unigram,1404
1340,asking me,bigram,1404
1341,stuff,unigram,1402
1342,hold,unigram,1401
1343,to stop,bigram,1400
1344,relationships,unigram,1399
1345,attack,unigram,1398
1346,choice,unigram,1398
1347,tips,unigram,1398
1348,understand that,bigram,1397
1349,certainly,unigram,1395
1350,extremely,unigram,1395
1351,parts,unigram,1393
1352,theft,unigram,1390
1353,not the,bigram,1388
1354,shit,unigram,1387
1355,rape,unigram,1387
1356,or maybe,bigram,1387
1357,chinese,unigram,1385
1358,you but,bigram,1385
1359,and make,bigram,1384
1360,to sell,bigram,1382
1361,enjoy,unigram,1381
1362,giving,unigram,1381
1363,do is,bigram,1381
1364,don really,bigram,1381
1365,fight,unigram,1380
1366,year,unigram,1379
1367,the only,bigram,1379
1368,over the,bigram,1378
1369,assistant how,bigram,1377
1370,illegal to,bigram,1376
1371,worried,unigram,1374
1372,purchase,unigram,1373
1373,finding,unigram,1372
1374,home address,bigram,1372
1375,do something,bigram,1371
1376,you sure,bigram,1370
1377,for them,bigram,1370
1378,game,unigram,1368
1379,be in,bigram,1367
1380,harassment,unigram,1366
1381,stolen,unigram,1364
1382,meat,unigram,1364
1383,something you,bigram,1363
1384,you if,bigram,1360
1385,is in,bigram,1360
1386,referring,unigram,1359
1387,he is,bigram,1359
1388,it hard,bigram,1359
1389,beliefs,unigram,1358
1390,people of,bigram,1358
1391,feel like,bigram,1355
1392,referring to,bigram,1352
1393,like this,bigram,1351
1394,to hurt,bigram,1351
1395,with them,bigram,1348
1396,story,unigram,1343
1397,god,unigram,1343
1398,worth,unigram,1343
1399,know about,bigram,1343
1400,private,unigram,1341
1401,people from,bigram,1341
1402,to their,bigram,1340
1403,america,unigram,1339
1404,could do,bigram,1336
1405,people with,bigram,1336
1406,wait,unigram,1334
1407,video,unigram,1333
1408,well as,bigram,1333
1409,values,unigram,1331
1410,telling,unigram,1330
1411,for it,bigram,1329
1412,what your,bigram,1327
1413,that was,bigram,1326
1414,the victim,bigram,1324
1415,racism,unigram,1322
1416,with me,bigram,1322
1417,person is,bigram,1322
1418,night,unigram,1320
1419,who have,bigram,1320
1420,or to,bigram,1320
1421,get caught,bigram,1319
1422,prevention,unigram,1316
1423,it just,bigram,1316
1424,and some,bigram,1316
1425,build,unigram,1315
1426,poor,unigram,1314
1427,might not,bigram,1314
1428,human yeah,bigram,1311
1429,so the,bigram,1311
1430,hey,unigram,1306
1431,place to,bigram,1305
1432,or are,bigram,1305
1433,to hide,bigram,1305
1434,that doesn,bigram,1305
1435,responsible,unigram,1303
1436,what can,bigram,1303
1437,racial,unigram,1302
1438,and your,bigram,1302
1439,be better,bigram,1300
1440,to create,bigram,1300
1441,shouldn,unigram,1299
1442,ensure,unigram,1297
1443,simple,unigram,1296
1444,close,unigram,1295
1445,popular,unigram,1295
1446,thoughts,unigram,1294
1447,tend,unigram,1294
1448,gov,unigram,1294
1449,partner,unigram,1293
1450,in many,bigram,1293
1451,we have,bigram,1293
1452,make them,bigram,1292
1453,emergency,unigram,1287
1454,out to,bigram,1286
1455,environment,unigram,1285
1456,sorry to,bigram,1285
1457,tend to,bigram,1283
1458,locate,unigram,1282
1459,find the,bigram,1282
1460,hands,unigram,1281
1461,ve been,bigram,1281
1462,today,unigram,1278
1463,don like,bigram,1275
1464,trust,unigram,1273
1465,justice,unigram,1273
1466,feel that,bigram,1273
1467,remove,unigram,1272
1468,not have,bigram,1272
1469,people assistant,bigram,1271
1470,if someone,bigram,1270
1471,to prevent,bigram,1270
1472,view,unigram,1269
1473,lie,unigram,1269
1474,that but,bigram,1268
1475,re talking,bigram,1267
1476,can say,bigram,1267
1477,second,unigram,1266
1478,effects,unigram,1266
1479,in way,bigram,1266
1480,worst,unigram,1260
1481,short,unigram,1260
1482,the store,bigram,1260
1483,the house,bigram,1259
1484,rid,unigram,1258
1485,human just,bigram,1257
1486,that good,bigram,1255
1487,allow,unigram,1254
1488,software,unigram,1254
1489,they ll,bigram,1254
1490,illegal and,bigram,1254
1491,of those,bigram,1254
1492,decide,unigram,1253
1493,organization,unigram,1251
1494,asking about,bigram,1249
1495,take the,bigram,1249
1496,religious,unigram,1248
1497,it but,bigram,1248
1498,mother,unigram,1247
1499,assistant is,bigram,1247
1500,for that,bigram,1246
1501,is your,bigram,1246
1502,comes,unigram,1245
1503,assistant why,bigram,1243
1504,to live,bigram,1240
1505,it doesn,bigram,1239
1506,financial,unigram,1238
1507,variety,unigram,1238
1508,getting caught,bigram,1238
1509,he was,bigram,1237
1510,up the,bigram,1237
1511,why don,bigram,1237
1512,to people,bigram,1237
1513,jews,unigram,1236
1514,war,unigram,1236
1515,wow,unigram,1234
1516,can just,bigram,1234
1517,the idea,bigram,1234
1518,comfortable,unigram,1233
1519,hotline at,bigram,1233
1520,higher,unigram,1231
1521,burn,unigram,1231
1522,many different,bigram,1231
1523,guy,unigram,1230
1524,rid of,bigram,1230
1525,add,unigram,1229
1526,out the,bigram,1229
1527,to commit,bigram,1229
1528,news,unigram,1228
1529,deal,unigram,1228
1530,hack,unigram,1228
1531,to eat,bigram,1225
1532,sick,unigram,1224
1533,could get,bigram,1224
1534,jewish,unigram,1223
1535,engage,unigram,1223
1536,live in,bigram,1223
1537,owner,unigram,1222
1538,on my,bigram,1222
1539,idea to,bigram,1222
1540,of that,bigram,1222
1541,of money,bigram,1222
1542,danger,unigram,1220
1543,ah,unigram,1220
1544,color,unigram,1219
1545,meant,unigram,1219
1546,value,unigram,1218
1547,the dog,bigram,1218
1548,enough to,bigram,1218
1549,of different,bigram,1218
1550,suggestions,unigram,1217
1551,link,unigram,1216
1552,easily,unigram,1216
1553,the human,bigram,1216
1554,it up,bigram,1216
1555,couple,unigram,1215
1556,various,unigram,1214
1557,you see,bigram,1213
1558,to just,bigram,1213
1559,and think,bigram,1213
1560,mean that,bigram,1209
1561,most people,bigram,1208
1562,normal,unigram,1207
1563,nothing,unigram,1207
1564,the country,bigram,1207
1565,human are,bigram,1206
1566,think this,bigram,1206
1567,teach,unigram,1205
1568,variety of,bigram,1205
1569,than the,bigram,1204
1570,you probably,bigram,1204
1571,easiest,unigram,1203
1572,human my,bigram,1203
1573,welcome,unigram,1202
1574,is against,bigram,1202
1575,paying,unigram,1201
1576,really want,bigram,1201
1577,well you,bigram,1201
1578,what it,bigram,1199
1579,complex,unigram,1198
1580,movie,unigram,1198
1581,time to,bigram,1198
1582,book,unigram,1197
1583,in mind,bigram,1197
1584,the use,bigram,1196
1585,can have,bigram,1196
1586,me know,bigram,1195
1587,saying that,bigram,1194
1588,concerned about,bigram,1192
1589,attention,unigram,1190
1590,three,unigram,1190
1591,dark,unigram,1190
1592,assistant okay,bigram,1186
1593,and so,bigram,1185
1594,is really,bigram,1185
1595,intelligence,unigram,1184
1596,population,unigram,1184
1597,notice,unigram,1183
1598,assistant would,bigram,1182
1599,seem to,bigram,1181
1600,the answer,bigram,1180
1601,require,unigram,1179
1602,paper,unigram,1179
1603,accomplish,unigram,1179
1604,be helpful,bigram,1179
1605,special,unigram,1178
1606,in fact,bigram,1178
1607,might have,bigram,1178
1608,use it,bigram,1177
1609,addiction,unigram,1176
1610,around the,bigram,1176
1611,would need,bigram,1176
1612,main,unigram,1175
1613,started,unigram,1174
1614,potential,unigram,1172
1615,when the,bigram,1172
1616,result in,bigram,1172
1617,of things,bigram,1171
1618,where the,bigram,1170
1619,top,unigram,1169
1620,to consider,bigram,1169
1621,happened,unigram,1168
1622,to explain,bigram,1168
1623,they will,bigram,1168
1624,weight,unigram,1167
1625,and in,bigram,1167
1626,continue,unigram,1166
1627,me about,bigram,1166
1628,way you,bigram,1163
1629,throw,unigram,1162
1630,piece,unigram,1162
1631,that really,bigram,1162
1632,ll have,bigram,1161
1633,jail,unigram,1160
1634,has the,bigram,1159
1635,basic,unigram,1158
1636,and he,bigram,1156
1637,agency,unigram,1155
1638,as an,bigram,1155
1639,guns,unigram,1154
1640,step,unigram,1153
1641,may not,bigram,1153
1642,low,unigram,1152
1643,quickly,unigram,1152
1644,use to,bigram,1151
1645,dirty,unigram,1150
1646,fair,unigram,1150
1647,site,unigram,1150
1648,it good,bigram,1150
1649,will not,bigram,1149
1650,prank,unigram,1148
1651,the worst,bigram,1148
1652,bag,unigram,1147
1653,you use,bigram,1147
1654,for their,bigram,1145
1655,can ask,bigram,1145
1656,they do,bigram,1145
1657,the one,bigram,1145
1658,think there,bigram,1144
1659,it you,bigram,1143
1660,of other,bigram,1143
1661,go on,bigram,1141
1662,law and,bigram,1141
1663,putting,unigram,1139
1664,related,unigram,1139
1665,or even,bigram,1139
1666,learn more,bigram,1139
1667,selling,unigram,1138
1668,dogs,unigram,1137
1669,left,unigram,1136
1670,committed,unigram,1135
1671,education,unigram,1135
1672,sure understand,bigram,1135
1673,request,unigram,1134
1674,young,unigram,1134
1675,this would,bigram,1134
1676,reach out,bigram,1134
1677,cash,unigram,1133
1678,given,unigram,1131
1679,immigrants,unigram,1131
1680,are very,bigram,1130
1681,respond,unigram,1129
1682,attempt,unigram,1129
1683,it on,bigram,1129
1684,that an,bigram,1129
1685,re in,bigram,1128
1686,simply,unigram,1126
1687,destroy,unigram,1125
1688,light,unigram,1125
1689,taxes,unigram,1125
1690,tools,unigram,1125
1691,what about,bigram,1123
1692,questions about,bigram,1123
1693,trick,unigram,1122
1694,seek help,bigram,1122
1695,credit card,bigram,1121
1696,honest,unigram,1120
1697,things like,bigram,1120
1698,natural,unigram,1118
1699,further,unigram,1118
1700,the term,bigram,1118
1701,that some,bigram,1117
1702,difference,unigram,1115
1703,device,unigram,1114
1704,you for,bigram,1114
1705,engage in,bigram,1114
1706,cars,unigram,1113
1707,they would,bigram,1113
1708,residential,unigram,1112
1709,terrible,unigram,1112
1710,decision,unigram,1111
1711,that has,bigram,1111
1712,get in,bigram,1111
1713,me some,bigram,1110
1714,is more,bigram,1110
1715,line,unigram,1109
1716,machine,unigram,1109
1717,get rid,bigram,1109
1718,average,unigram,1108
1719,clarify,unigram,1108
1720,purpose,unigram,1108
1721,of an,bigram,1108
1722,emotional,unigram,1107
1723,thank,unigram,1106
1724,good at,bigram,1106
1725,thinking of,bigram,1106
1726,due,unigram,1105
1727,know you,bigram,1105
1728,people can,bigram,1105
1729,members,unigram,1104
1730,code,unigram,1103
1731,it very,bigram,1102
1732,back to,bigram,1101
1733,it if,bigram,1100
1734,you looking,bigram,1099
1735,could help,bigram,1099
1736,ve heard,bigram,1099
1737,familiar,unigram,1098
1738,to figure,bigram,1098
1739,anything else,bigram,1098
1740,penis,unigram,1097
1741,skills,unigram,1097
1742,organizations,unigram,1096
1743,confused,unigram,1093
1744,am trying,bigram,1092
1745,http,unigram,1091
1746,it probably,bigram,1091
1747,harder,unigram,1089
1748,to cause,bigram,1088
1749,position,unigram,1087
1750,as it,bigram,1087
1751,it with,bigram,1087
1752,alone,unigram,1086
1753,someone is,bigram,1086
1754,human think,bigram,1086
1755,do the,bigram,1086
1756,to this,bigram,1086
1757,weapons,unigram,1085
1758,currently,unigram,1084
1759,opinions,unigram,1084
1760,that she,bigram,1084
1761,member,unigram,1083
1762,rude,unigram,1082
1763,express,unigram,1082
1764,something else,bigram,1081
1765,looks like,bigram,1081
1766,people should,bigram,1079
1767,subject,unigram,1078
1768,are few,bigram,1078
1769,mean to,bigram,1078
1770,break into,bigram,1078
1771,upset,unigram,1077
1772,for an,bigram,1077
1773,clean,unigram,1076
1774,music,unigram,1076
1775,and see,bigram,1076
1776,respectful,unigram,1075
1777,later,unigram,1074
1778,probably be,bigram,1074
1779,you what,bigram,1073
1780,might also,bigram,1073
1781,under the,bigram,1072
1782,assistant hm,bigram,1071
1783,or just,bigram,1070
1784,smart,unigram,1069
1785,imagine,unigram,1069
1786,make you,bigram,1069
1787,long as,bigram,1069
1788,assistant this,bigram,1068
1789,piece of,bigram,1068
1790,rules,unigram,1067
1791,gets,unigram,1066
1792,wants,unigram,1066
1793,you try,bigram,1066
1794,say you,bigram,1066
1795,heroin,unigram,1065
1796,heart,unigram,1065
1797,group of,bigram,1065
1798,products,unigram,1064
1799,solution,unigram,1063
1800,ass,unigram,1062
1801,crime and,bigram,1062
1802,things you,bigram,1061
1803,people that,bigram,1061
1804,cheat,unigram,1060
1805,proper,unigram,1060
1806,steps,unigram,1060
1807,days,unigram,1058
1808,date,unigram,1057
1809,it has,bigram,1057
1810,up and,bigram,1057
1811,goals,unigram,1056
1812,thank you,bigram,1054
1813,towards,unigram,1053
1814,to report,bigram,1051
1815,message,unigram,1050
1816,nigger,unigram,1050
1817,off the,bigram,1050
1818,instance,unigram,1049
1819,range,unigram,1049
1820,whatever,unigram,1049
1821,human would,bigram,1049
1822,assistant in,bigram,1049
1823,completely,unigram,1048
1824,away from,bigram,1048
1825,human have,bigram,1047
1826,bitch,unigram,1046
1827,front,unigram,1046
1828,designed,unigram,1046
1829,ugly,unigram,1046
1830,numbers,unigram,1046
1831,you assistant,bigram,1043
1832,should also,bigram,1043
1833,prefer,unigram,1042
1834,you trying,bigram,1041
1835,aware of,bigram,1041
1836,what to,bigram,1041
1837,and should,bigram,1039
1838,can provide,bigram,1039
1839,goes,unigram,1038
1840,your car,bigram,1038
1841,ethical,unigram,1037
1842,chemicals,unigram,1036
1843,and want,bigram,1036
1844,familiar with,bigram,1036
1845,and their,bigram,1035
1846,what if,bigram,1035
1847,sleep,unigram,1034
1848,carry,unigram,1034
1849,calling,unigram,1034
1850,focus,unigram,1033
1851,unacceptable,unigram,1033
1852,of human,bigram,1033
1853,running,unigram,1032
1854,curious,unigram,1031
1855,highly,unigram,1031
1856,to rob,bigram,1030
1857,to feel,bigram,1030
1858,does that,bigram,1030
1859,and will,bigram,1029
1860,eyes,unigram,1028
1861,meet,unigram,1028
1862,situations,unigram,1027
1863,asian,unigram,1027
1864,convince,unigram,1026
1865,taken,unigram,1025
1866,easier to,bigram,1025
1867,she is,bigram,1024
1868,risk of,bigram,1024
1869,sorry can,bigram,1024
1870,legally,unigram,1022
1871,you wanted,bigram,1022
1872,could say,bigram,1022
1873,refer,unigram,1021
1874,person you,bigram,1020
1875,could just,bigram,1020
1876,asking for,bigram,1020
1877,local law,bigram,1020
1878,cover,unigram,1019
1879,any of,bigram,1016
1880,knowledge,unigram,1015
1881,stores,unigram,1015
1882,the problem,bigram,1015
1883,you you,bigram,1014
1884,ask you,bigram,1014
1885,but also,bigram,1013
1886,that makes,bigram,1013
1887,someone with,bigram,1011
1888,you make,bigram,1011
1889,haven,unigram,1010
1890,her to,bigram,1010
1891,would say,bigram,1009
1892,get it,bigram,1009
1893,dumb,unigram,1008
1894,hear that,bigram,1007
1895,anyone who,bigram,1007
1896,you about,bigram,1006
1897,better to,bigram,1006
1898,fraud,unigram,1005
1899,bunch,unigram,1005
1900,assistant so,bigram,1005
1901,if he,bigram,1005
1902,person to,bigram,1005
1903,risks,unigram,1004
1904,in our,bigram,1004
1905,there no,bigram,1003
1906,be an,bigram,1003
1907,for help,bigram,1003
1908,all people,bigram,1002
1909,article,unigram,1001
1910,to change,bigram,1000
1911,that in,bigram,1000
1912,behind,unigram,998
1913,how many,bigram,998
1914,in which,bigram,998
1915,may have,bigram,998
1916,is considered,bigram,998
1917,otherwise,unigram,997
1918,thing you,bigram,996
1919,as long,bigram,996
1920,there anything,bigram,996
1921,actual,unigram,995
1922,see what,bigram,995
1923,understand your,bigram,995
1924,way of,bigram,994
1925,necessary,unigram,993
1926,weird,unigram,993
1927,assist,unigram,993
1928,areas,unigram,992
1929,to locate,bigram,992
1930,can take,bigram,992
1931,password,unigram,991
1932,cultures,unigram,991
1933,residential address,bigram,991
1934,we are,bigram,991
1935,to call,bigram,991
1936,unless,unigram,990
1937,team,unigram,990
1938,boss,unigram,989
1939,should do,bigram,989
1940,as possible,bigram,989
1941,get into,bigram,987
1942,single,unigram,986
1943,that all,bigram,986
1944,jobs,unigram,985
1945,report it,bigram,985
1946,hope you,bigram,984
1947,look for,bigram,984
1948,everything,unigram,983
1949,source,unigram,983
1950,achieve,unigram,983
1951,using the,bigram,983
1952,in most,bigram,983
1953,helping,unigram,982
1954,advise,unigram,982
1955,him to,bigram,982
1956,if she,bigram,982
1957,across,unigram,981
1958,hot,unigram,981
1959,since you,bigram,981
1960,reduce,unigram,980
1961,instead of,bigram,980
1962,are there,bigram,980
1963,pull,unigram,979
1964,insurance,unigram,979
1965,not good,bigram,979
1966,assistant have,bigram,978
1967,kill someone,bigram,978
1968,physically,unigram,977
1969,window,unigram,977
1970,sure can,bigram,977
1971,re saying,bigram,977
1972,equal,unigram,976
1973,for some,bigram,976
1974,somewhere,unigram,975
1975,speech,unigram,975
1976,policy,unigram,975
1977,severe,unigram,975
1978,metal,unigram,974
1979,bunch of,bigram,974
1980,the door,bigram,974
1981,the easiest,bigram,974
1982,tricky,unigram,972
1983,assistant hmm,bigram,972
1984,it out,bigram,972
1985,they should,bigram,971
1986,should never,bigram,971
1987,perhaps you,bigram,970
1988,causes,unigram,969
1989,most of,bigram,969
1990,suspicious,unigram,967
1991,for instance,bigram,967
1992,it so,bigram,967
1993,who has,bigram,967
1994,question is,bigram,967
1995,female,unigram,966
1996,air,unigram,964
1997,clothes,unigram,964
1998,drinking,unigram,964
1999,terms of,bigram,963
2000,seems to,bigram,962
2001,tell them,bigram,959
2002,sense of,bigram,959
2003,that don,bigram,959
2004,possible that,bigram,959
2005,from your,bigram,959
2006,grow,unigram,958
2007,brain,unigram,958
2008,well it,bigram,958
2009,improve,unigram,957
2010,there any,bigram,957
2011,help from,bigram,957
2012,center,unigram,956
2013,human well,bigram,956
2014,successful,unigram,955
2015,cheating,unigram,955
2016,if your,bigram,955
2017,search for,bigram,955
2018,camera,unigram,954
2019,human where,bigram,954
2020,girlfriend,unigram,953
2021,it may,bigram,953
2022,talking to,bigram,953
2023,can think,bigram,952
2024,won be,bigram,951
2025,content,unigram,950
2026,meth,unigram,950
2027,etc,unigram,949
2028,it be,bigram,949
2029,sure it,bigram,949
2030,what does,bigram,949
2031,due to,bigram,949
2032,true that,bigram,949
2033,think we,bigram,947
2034,to describe,bigram,947
2035,locate the,bigram,946
2036,with some,bigram,946
2037,to that,bigram,946
2038,it or,bigram,946
2039,the home,bigram,945
2040,you how,bigram,945
2041,supposed,unigram,944
2042,to accomplish,bigram,944
2043,the case,bigram,944
2044,torture,unigram,943
2045,why would,bigram,943
2046,not going,bigram,942
2047,learning,unigram,941
2048,planning to,bigram,941
2049,on it,bigram,941
2050,never acceptable,bigram,941
2051,is serious,bigram,940
2052,sorry not,bigram,939
2053,good way,bigram,939
2054,used in,bigram,939
2055,must be,bigram,939
2056,english,unigram,937
2057,abortion,unigram,937
2058,ability,unigram,937
2059,arrested,unigram,937
2060,when it,bigram,937
2061,mean you,bigram,937
2062,me that,bigram,937
2063,not very,bigram,937
2064,is probably,bigram,936
2065,hours,unigram,935
2066,chemical,unigram,935
2067,assistant human,bigram,935
2068,need help,bigram,935
2069,come up,bigram,934
2070,you believe,bigram,934
2071,according,unigram,933
2072,and do,bigram,933
2073,you ever,bigram,933
2074,do so,bigram,933
2075,bit more,bigram,933
2076,and support,bigram,932
2077,spread,unigram,931
2078,websites,unigram,931
2079,but in,bigram,931
2080,typically,unigram,930
2081,cultural,unigram,930
2082,say something,bigram,930
2083,according to,bigram,929
2084,like an,bigram,929
2085,and be,bigram,928
2086,tough,unigram,927
2087,african,unigram,927
2088,file,unigram,927
2089,then it,bigram,927
2090,supposed to,bigram,927
2091,policies,unigram,926
2092,good to,bigram,926
2093,attempt to,bigram,926
2094,robbery,unigram,925
2095,note,unigram,925
2096,someone assistant,bigram,924
2097,because the,bigram,924
2098,then the,bigram,924
2099,re just,bigram,923
2100,middle,unigram,922
2101,trafficking,unigram,922
2102,of how,bigram,922
2103,of violence,bigram,922
2104,of being,bigram,921
2105,start with,bigram,921
2106,this and,bigram,921
2107,programs,unigram,920
2108,it more,bigram,920
2109,for someone,bigram,919
2110,wish,unigram,918
2111,favorite,unigram,917
2112,see the,bigram,917
2113,should always,bigram,917
2114,can cause,bigram,917
2115,should contact,bigram,917
2116,claim,unigram,916
2117,re doing,bigram,914
2118,buying,unigram,912
2119,communities,unigram,911
2120,those who,bigram,911
2121,wearing,unigram,910
2122,acts,unigram,910
2123,recommended,unigram,910
2124,for all,bigram,910
2125,about you,bigram,910
2126,truth,unigram,909
2127,uncomfortable,unigram,908
2128,but this,bigram,908
2129,with their,bigram,908
2130,to an,bigram,908
2131,with an,bigram,908
2132,privacy,unigram,907
2133,with my,bigram,907
2134,to leave,bigram,907
2135,accident,unigram,905
2136,you had,bigram,905
2137,money from,bigram,905
2138,response,unigram,904
2139,techniques,unigram,903
2140,disease,unigram,903
2141,that question,bigram,903
2142,out how,bigram,902
2143,suicide prevention,bigram,902
2144,spend,unigram,901
2145,social media,bigram,901
2146,person and,bigram,901
2147,time and,bigram,901
2148,happens,unigram,900
2149,helps,unigram,900
2150,them human,bigram,900
2151,to not,bigram,900
2152,inappropriate,unigram,899
2153,them that,bigram,899
2154,the phone,bigram,899
2155,military,unigram,898
2156,provider,unigram,898
2157,an example,bigram,898
2158,and this,bigram,897
2159,near,unigram,896
2160,officer,unigram,896
2161,this human,bigram,896
2162,circumstances,unigram,895
2163,court,unigram,894
2164,robot,unigram,894
2165,with her,bigram,893
2166,moral,unigram,892
2167,most common,bigram,892
2168,husband,unigram,891
2169,is just,bigram,891
2170,and would,bigram,891
2171,reasonable,unigram,890
2172,views,unigram,889
2173,to my,bigram,889
2174,wasn,unigram,888
2175,cats,unigram,888
2176,mouth,unigram,886
2177,cameras,unigram,885
2178,male,unigram,885
2179,assume,unigram,885
2180,the bank,bigram,884
2181,wondering,unigram,883
2182,saw,unigram,883
2183,be sure,bigram,883
2184,these are,bigram,883
2185,and respect,bigram,883
2186,is one,bigram,883
2187,expert,unigram,882
2188,answers,unigram,882
2189,license,unigram,882
2190,without getting,bigram,882
2191,the past,bigram,882
2192,to ensure,bigram,882
2193,sexual assault,bigram,882
2194,them for,bigram,881
2195,be careful,bigram,881
2196,to contact,bigram,880
2197,is what,bigram,880
2198,statement,unigram,879
2199,injury,unigram,879
2200,that means,bigram,879
2201,adult,unigram,878
2202,page,unigram,878
2203,the context,bigram,878
2204,companies,unigram,877
2205,the future,bigram,877
2206,the following,bigram,877
2207,this way,bigram,877
2208,are lot,bigram,877
2209,you talking,bigram,877
2210,would not,bigram,877
2211,secret,unigram,875
2212,to stay,bigram,875
2213,civil,unigram,874
2214,they want,bigram,874
2215,with someone,bigram,874
2216,the information,bigram,874
2217,put the,bigram,874
2218,minutes,unigram,872
2219,example if,bigram,872
2220,explosives,unigram,871
2221,depending,unigram,871
2222,me and,bigram,871
2223,crisis,unigram,870
2224,longer,unigram,869
2225,to her,bigram,869
2226,depending on,bigram,869
2227,does it,bigram,868
2228,dangerous and,bigram,868
2229,of his,bigram,868
2230,pretend,unigram,867
2231,to come,bigram,867
2232,idea of,bigram,866
2233,as they,bigram,865
2234,yet,unigram,863
2235,and many,bigram,862
2236,okay to,bigram,862
2237,set up,bigram,860
2238,we ll,bigram,860
2239,can lead,bigram,860
